index,y
2023-01-01_1J7,28.583333333333332
2023-01-01_O2O,15.538461538461538
2023-01-01_8QR,18.22222222222222
2023-01-01_L58,3.0
2023-01-01_UMC,34.714285714285715
2023-01-01_FK3,144.0
2023-01-01_I1K,29.25
2023-01-01_KY6,890.3333333333334
2023-01-01_V8D,57.75
2023-01-01_EK4,131.15384615384616
2023-01-01_357,65.71428571428571
2023-01-01_O7B,84.2
2023-01-01_RYX,76.85714285714286
2023-01-01_TEP,185.63636363636363
2023-01-01_CUF,310.0
2023-01-01_4UY,30.166666666666668
2023-01-01_I9K,104.33333333333333
2023-01-01_FA8,106.5
2023-01-01_EPD,159.33333333333334
2023-01-01_VML,18.25
2023-01-01_GV0,157.66666666666666
2023-01-01_5KB,84.2
2023-01-01_6WR,79.8
2023-01-01_BRZ,306.44444444444446
2023-01-01_BUY,94.6
2023-01-01_C3A,98.25
2023-01-01_276,43.42857142857143
2023-01-01_IFB,83.0
2023-01-01_1PW,1634.625
2023-01-01_6UW,1087.6
2023-01-01_RR1,599.7
2023-01-01_XTG,2470.7272727272725
2023-01-01_JXV,46.0
2023-01-01_OD3,148.85714285714286
2023-01-01_YTV,809.1666666666666
2023-01-01_Z2T,563.7777777777778
2023-01-01_GOJ,1288.5
2023-01-01_8X9,997.0
2023-01-01_R83,2158.3333333333335
2023-01-01_XIG,223.7
2023-01-01_CSD,559.5
2023-01-01_30R,309.25
2023-01-01_OOY,61.22222222222222
2023-01-01_JCN,1572.5
2023-01-01_G10,278.52941176470586
2023-01-01_MM6,36.6
2023-01-01_NT4,410.7
2023-01-01_IOR,66.21428571428571
2023-01-01_J9C,94.81818181818181
2023-01-01_VI4,343.1666666666667
2023-01-01_8WZ,24.666666666666668
2023-01-01_FYB,755.4444444444445
2023-01-01_5GK,79.6
2023-01-01_QQJ,14.555555555555555
2023-01-01_E9M,53.125
2023-01-01_F77,74.92307692307692
2023-01-01_JX6,1452.4375
2023-01-01_HW6,16.0
2023-01-01_30I,27.428571428571427
2023-01-01_CWQ,399.75
2023-01-01_4IM,10.5
2023-01-01_59A,21.6
2023-01-01_BZ0,36.44444444444444
2023-01-01_5S5,9.0
2023-01-01_MK9,150.57142857142858
2023-01-01_JCW,4781.692307692308
2023-01-01_34L,22.166666666666668
2023-01-01_EBP,25.071428571428573
2023-01-01_V4D,86.4
2023-01-01_3KU,714.0
2023-01-01_BNR,40.625
2023-01-01_VGQ,253.7
2023-01-01_B3W,201.58333333333334
2023-01-01_HOX,16.714285714285715
2023-01-01_9WY,259.75
2023-01-01_N7J,1236.8
2023-01-01_4YU,61.5
2023-01-01_JD3,1448.8181818181818
2023-01-01_RF2,101.9090909090909
2023-01-01_FBH,919.9090909090909
2023-01-01_P4J,936.25
2023-01-01_QV8,74.85714285714286
2023-01-01_SH9,7985.75
2023-01-01_DBV,111.81818181818181
2023-01-01_3NQ,207.55555555555554
2023-01-01_651,272.85714285714283
2023-01-01_HOC,434.4
2023-01-01_3W6,1069.642857142857
2023-01-01_EIZ,90.45454545454545
2023-01-01_87K,180.66666666666666
2023-01-01_289,56.77777777777778
2023-01-01_XRB,605.2
2023-01-01_BKJ,342.7142857142857
2023-01-01_T91,396.2
2023-01-01_NVE,1028.4
2023-01-01_CJP,390.625
2023-01-01_5U5,2111.6666666666665
2023-01-01_BPW,850.5
2023-01-01_GKH,320.5
2023-01-01_XOK,613.6666666666666
2023-01-01_72S,128.625
2023-01-01_4PO,5898.076923076923
2023-01-01_5PK,393.15384615384613
2023-01-01_5WG,74.88888888888889
2023-01-01_J9O,97.54545454545455
2023-01-01_6DU,72.5
2023-01-01_MIH,1111.5555555555557
2023-01-01_DSX,22.625
2023-01-01_F7I,73.28571428571429
2023-01-01_OYD,20.666666666666668
2023-01-01_P3G,1217.5384615384614
2023-01-01_B3D,1558.125
2023-01-01_B61,3459.909090909091
2023-01-01_8E0,235.46153846153845
2023-01-01_7NG,269.25
2023-01-01_222,735.5
2023-01-01_1TE,129.0
2023-01-01_CYD,310.0
2023-01-01_GN3,561.8
2023-01-01_11W,279.0
2023-01-01_4SH,1589.4285714285713
2023-01-01_3NS,67.14285714285714
2023-01-01_W80,20.0
2023-01-01_OTS,106.38461538461539
2023-01-01_25G,367.14285714285717
2023-01-01_XUL,72.125
2023-01-01_Z5T,40.333333333333336
2023-01-01_56P,223.625
2023-01-01_WIX,943.8888888888889
2023-01-01_TPX,26.0
2023-01-01_F30,356.55555555555554
2023-01-01_OUG,110.18181818181819
2023-01-01_APN,33.57142857142857
2023-01-01_WRR,131.71428571428572
2023-01-01_K5Q,131.42857142857142
2023-01-01_D68,314.3076923076923
2023-01-01_2P1,1449.7
2023-01-01_B65,766.8333333333334
2023-01-01_EFN,51.2
2023-01-01_ROF,18.857142857142858
2023-01-01_1EJ,1057.7222222222222
2023-01-01_H1M,3382.0
2023-01-01_B9M,34.2
