index,y
2023-01-01_1J7,182
2023-01-01_O2O,31
2023-01-01_8QR,51
2023-01-01_L58,21
2023-01-01_UMC,155
2023-01-01_FK3,264
2023-01-01_I1K,141
2023-01-01_KY6,202
2023-01-01_V8D,180
2023-01-01_EK4,172
2023-01-01_357,208
2023-01-01_O7B,191
2023-01-01_RYX,174
2023-01-01_TEP,221
2023-01-01_CUF,172
2023-01-01_4UY,119
2023-01-01_I9K,178
2023-01-01_FA8,189
2023-01-01_EPD,158
2023-01-01_VML,68
2023-01-01_GV0,195
2023-01-01_5KB,163
2023-01-01_6WR,218
2023-01-01_BRZ,261
2023-01-01_BUY,214
2023-01-01_C3A,179
2023-01-01_276,185
2023-01-01_IFB,182
2023-01-01_1PW,149
2023-01-01_6UW,185
2023-01-01_RR1,194
2023-01-01_XTG,226
2023-01-01_JXV,212
2023-01-01_OD3,218
2023-01-01_YTV,252
2023-01-01_Z2T,184
2023-01-01_GOJ,212
2023-01-01_8X9,197
2023-01-01_R83,228
2023-01-01_XIG,155
2023-01-01_CSD,233
2023-01-01_30R,196
2023-01-01_OOY,162
2023-01-01_JCN,141
2023-01-01_G10,160
2023-01-01_MM6,68
2023-01-01_NT4,233
2023-01-01_IOR,82
2023-01-01_J9C,177
2023-01-01_VI4,210
2023-01-01_8WZ,59
2023-01-01_FYB,244
2023-01-01_5GK,147
2023-01-01_QQJ,36
2023-01-01_E9M,82
2023-01-01_F77,208
2023-01-01_JX6,143
2023-01-01_HW6,44
2023-01-01_30I,63
2023-01-01_CWQ,150
2023-01-01_4IM,34
2023-01-01_59A,47
2023-01-01_BZ0,95
2023-01-01_5S5,22
2023-01-01_MK9,212
2023-01-01_JCW,185
2023-01-01_34L,114
2023-01-01_EBP,131
2023-01-01_V4D,195
2023-01-01_3KU,197
2023-01-01_BNR,145
2023-01-01_VGQ,204
2023-01-01_B3W,228
2023-01-01_HOX,102
2023-01-01_9WY,242
2023-01-01_N7J,153
2023-01-01_4YU,236
2023-01-01_JD3,139
2023-01-01_RF2,209
2023-01-01_FBH,203
2023-01-01_P4J,200
2023-01-01_QV8,205
2023-01-01_SH9,145
2023-01-01_DBV,186
2023-01-01_3NQ,221
2023-01-01_651,147
2023-01-01_HOC,179
2023-01-01_3W6,199
2023-01-01_EIZ,170
2023-01-01_87K,228
2023-01-01_289,190
2023-01-01_XRB,226
2023-01-01_BKJ,209
2023-01-01_T91,264
2023-01-01_NVE,281
2023-01-01_CJP,154
2023-01-01_5U5,247
2023-01-01_BPW,138
2023-01-01_GKH,199
2023-01-01_XOK,183
2023-01-01_72S,191
2023-01-01_4PO,150
2023-01-01_5PK,181
2023-01-01_5WG,246
2023-01-01_J9O,163
2023-01-01_6DU,217
2023-01-01_MIH,235
2023-01-01_DSX,99
2023-01-01_F7I,187
2023-01-01_OYD,164
2023-01-01_P3G,210
2023-01-01_B3D,162
2023-01-01_B61,180
2023-01-01_8E0,172
2023-01-01_7NG,261
2023-01-01_222,188
2023-01-01_1TE,162
2023-01-01_CYD,171
2023-01-01_GN3,258
2023-01-01_11W,227
2023-01-01_4SH,200
2023-01-01_3NS,202
2023-01-01_W80,31
2023-01-01_OTS,205
2023-01-01_25G,262
2023-01-01_XUL,142
2023-01-01_Z5T,188
2023-01-01_56P,221
2023-01-01_WIX,182
2023-01-01_TPX,181
2023-01-01_F30,189
